ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
PMT,2025,69,3.0833333333333335,1,536,1082
PSA,2014,153,2.772727272727273,0,3565,7023
PSA,2015,215,2.9954337899543377,0,4294,6531
PSA,2016,167,2.941860465116279,0,2932,5826
PSA,2017,139,3.115107913669065,0,2109,3000
PSA,2018,151,3.0451612903225804,0,2285,3193
PSA,2019,99,3.1414141414141414,0,1347,2186
PSA,2020,122,3.16260162601626,0,1324,1593
PSA,2021,203,3.2418604651162792,0,2647,3289
PSA,2022,167,2.84,0,1524,3831
PSA,2023,146,2.761290322580645,1,1213,2258
PSA,2024,142,2.7434210526315788,1,1065,2302
PSA,2025,79,2.63855421686747,1,607,1949
PSTL,2022,0,4.0,1,6,5
RC,2019,1,1.0,0,6,33
RC,2020,3,4.0,0,14,19
RC,2021,5,4.0,0,42,26
RC,2022,5,2.8,0,40,85
RC,2023,3,4.333333333333333,1,15,13
RC,2024,3,4.666666666666667,1,14,17
RC,2025,3,2.3333333333333335,1,13,13
REG,2014,8,3.75,0,84,127
REG,2015,8,4.375,0,67,59
REG,2016,9,4.444444444444445,0,108,72
REG,2017,10,4.0,0,132,121
REG,2018,9,4.0,0,44,48
REG,2019,6,4.0,0,75,65
REG,2020,5,3.8,0,28,71
REG,2021,16,3.9375,0,85,128
REG,2022,10,3.8181818181818183,0,105,85
REG,2023,11,4.090909090909091,1,73,349
REG,2024,16,4.0,1,119,148
REG,2025,8,3.625,1,59,84
RHP,2016,3,4.333333333333333,0,52,40
RHP,2017,7,4.0,0,89,85
RHP,2018,6,2.6666666666666665,0,67,298
RHP,2019,7,2.2857142857142856,0,187,729
RHP,2020,11,4.181818181818182,0,99,189
RHP,2021,8,3.25,0,66,86
RHP,2022,13,4.076923076923077,0,133,85
RHP,2023,10,3.7,1,168,354
RHP,2024,12,4.083333333333333,1,91,117
RHP,2025,4,3.5,1,18,147
RLJ,2024,1,4.0,1,8,14
RLJ,2025,4,2.0,1,31,137
RPT,2019,1,4.0,0,5,6
RPT,2020,1,2.0,0,6,8
RPT,2025,2,4.0,1,10,12
SAFE,2024,1,3.0,1,6,6
SBAC,2014,11,2.909090909090909,0,163,300
SBAC,2015,14,3.7333333333333334,0,211,147
SBAC,2016,46,3.9361702127659575,0,879,498
SBAC,2017,16,2.875,0,215,396
SBAC,2018,16,3.4444444444444446,0,241,172
SBAC,2019,16,2.75,0,184,190
SBAC,2020,128,4.636363636363637,0,1851,1016
SBAC,2021,94,4.422680412371134,0,1309,742
SBAC,2022,48,4.346938775510204,0,543,355
SBAC,2023,55,3.8620689655172415,1,714,657
SBAC,2024,43,3.2790697674418605,1,286,601
SBAC,2025,15,3.411764705882353,1,209,255
SILA,2017,1,5.0,0,5,3
SILA,2018,1,4.0,0,9,5
SILA,2019,4,5.0,0,133,30
SILA,2021,2,5.0,0,22,6
SILA,2022,1,1.0,0,2,63
SILA,2023,2,1.0,1,16,82
SITC,2020,6,3.5,0,60,51
SITC,2021,6,3.8333333333333335,0,26,31
SITC,2022,6,3.0,0,39,27
SITC,2023,2,3.0,1,10,9
SITC,2024,4,3.0,1,25,41
SITC,2025,1,5.0,1,8,8
SKT,2014,2,3.5,0,19,15
SKT,2015,1,1.0,0,10,25
SKT,2016,3,4.0,0,12,16
SKT,2017,8,4.25,0,134,102
SKT,2018,8,3.25,0,68,118
SKT,2019,2,4.333333333333333,0,38,17
SKT,2020,7,4.285714285714286,0,54,28
SKT,2021,8,4.222222222222222,0,68,68
SKT,2022,12,3.5833333333333335,0,84,211
SKT,2023,13,3.769230769230769,1,63,63
SKT,2024,11,3.6363636363636362,1,76,54
SKT,2025,3,4.0,1,23,18
SLG,2015,4,3.0,0,96,56
SLG,2016,5,3.8,0,59,51
SLG,2017,7,2.857142857142857,0,90,199
SLG,2018,6,2.8333333333333335,0,40,101
SLG,2019,4,4.25,0,64,31
SLG,2020,5,4.0,0,33,48
SLG,2021,11,3.727272727272727,0,76,71
SLG,2022,10,4.0,0,85,90
SLG,2023,4,3.3333333333333335,1,29,32
SLG,2024,7,3.375,1,41,78
SLG,2025,11,3.1818181818181817,1,77,287
SMA,2014,3,2.0,0,14,102
SMA,2015,5,4.0,0,60,78
SMA,2016,3,3.3333333333333335,0,19,16
SMA,2017,2,2.3333333333333335,0,13,24
SMA,2018,6,2.5,0,35,85
SMA,2019,3,3.0,0,19,55
SMA,2020,4,2.0,0,21,89
SMA,2021,7,4.142857142857143,0,62,52
SMA,2022,10,3.6,0,93,114
SMA,2023,13,3.0,1,84,185
SMA,2024,6,3.4285714285714284,1,40,40
SMA,2025,9,2.111111111111111,1,52,72
SPG,2014,42,2.642857142857143,0,397,1358
SPG,2015,68,2.9565217391304346,0,678,1093
SPG,2016,84,2.840909090909091,0,859,1917
SPG,2017,68,3.0285714285714285,0,521,931
SPG,2018,37,2.789473684210526,0,299,881
SPG,2019,42,2.7857142857142856,0,272,820
