ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
JBGS,2014,0.0,0.0,0.0
JBGS,2015,0.0,0.0,0.0
JBGS,2016,0.0,0.0,0.0
JBGS,2017,0.0,0.0,0.0
JBGS,2018,0.0,0.0,0.0
JBGS,2019,0.0,0.0,0.0
JBGS,2020,0.0,0.0,0.0
JBGS,2021,0.0,0.0,0.0
JBGS,2022,0.0,0.0,0.0
JBGS,2023,0.0,0.0,0.0
JBGS,2024,0.0,0.0,0.0
JBGS,2025,0.0,0.0,0.0
KIM,2008,0.0,0.0,0.0
KIM,2009,0.0,0.0,0.0
KIM,2010,0.0,0.0,0.0
KIM,2011,0.0,0.0,0.0
KIM,2013,0.0,0.0,0.0
KIM,2014,0.0,0.0,0.0
KIM,2015,0.0,0.0,0.0
KIM,2016,0.0,0.0,0.0
KIM,2017,0.0,0.0,0.0
KIM,2018,0.0,0.0,0.0
KIM,2019,0.0,0.0,0.0
KIM,2020,0.0,0.0,0.0
KIM,2021,0.0,0.0,0.0
KIM,2022,0.0,0.0,0.0
KIM,2023,0.0,0.0,0.0
KIM,2024,0.0,0.0,0.0
KIM,2025,0.0,0.0,0.0
KRC,2014,0.0,0.0,0.0
KRC,2015,0.0,0.0,0.0
KRC,2016,0.0,0.0,0.0
KRC,2017,0.0,0.0,0.0
KRC,2018,0.0,0.0,0.0
KRC,2019,0.0,0.0,0.0
KRC,2020,0.0,0.0,0.0
KRC,2021,0.0,0.0,0.0
KRC,2022,0.0,0.0,0.0
KRC,2023,0.0,0.0,0.0
KRC,2024,0.0,0.0,0.0
KRC,2025,0.0,0.0,0.0
KRG,2015,0.0,0.0,0.0
KRG,2016,0.0,0.0,0.0
KRG,2017,0.0,0.0,0.0
KRG,2018,0.0,0.0,0.0
KRG,2019,0.0,0.0,0.0
KRG,2020,0.0,0.0,0.0
KRG,2021,0.0,0.0,0.0
KRG,2022,0.0,0.0,0.0
KRG,2023,0.0,0.0,0.0
KRG,2024,0.0,0.0,0.0
KRG,2025,0.0,0.0,0.0
LADR,2017,0.0,0.0,0.0
LADR,2018,0.0,0.0,0.0
LADR,2024,0.0,0.0,0.0
LAMR,2009,0.0,0.0,0.0
LAMR,2010,0.0,0.0,0.0
LAMR,2011,0.0,0.0,0.0
LAMR,2012,0.0,0.0,0.0
LAMR,2013,0.0,0.0,0.0
LAMR,2014,0.0,0.0,0.0
LAMR,2015,0.0,0.0,0.0
LAMR,2016,0.0,0.0,0.0
LAMR,2017,0.0,0.0,0.0
LAMR,2018,0.0,0.0,0.0
LAMR,2019,0.0,0.0,0.0
LAMR,2020,0.0,0.0,0.0
LAMR,2021,0.0,0.0,0.0
LAMR,2022,0.0,0.0,0.0
LAMR,2023,0.0,0.0,0.0
LAMR,2024,0.0,0.0,0.0
LAMR,2025,0.0,0.0,0.0
LINE,2014,0.0,0.0,0.0
LINE,2015,0.0,0.0,0.0
LINE,2016,0.0,0.0,0.0
LINE,2017,0.0,0.0,0.0
LINE,2018,0.0,0.0,0.0
LINE,2019,0.0,0.0,0.0
LINE,2020,0.0,0.0,0.0
LINE,2021,0.0,0.0,0.0
LINE,2022,0.0,0.0,0.0
LINE,2023,0.0,0.0,0.0
LINE,2024,0.0,0.0,0.0
LINE,2025,0.0,0.0,0.0
LXP,2015,0.0,0.0,0.0
LXP,2017,0.0,0.0,0.0
LXP,2019,0.0,0.0,0.0
LXP,2021,0.0,0.0,0.0
LXP,2022,0.0,0.0,0.0
MAA,2008,0.0,0.0,0.0
